product_name,product_url,product_price,product_price_url,product_isinstock
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Alexa,Siri, Echo, Google Home and IFTTT (No Hub Required), A19 60W Equivalent RGB Color Changing Bulb (4 Pack)",https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?keywords=smart+light&qid=1581545192&sr=8-1,"$39.99
$39
.
99",https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?keywords=smart+light&qid=1581545192&sr=8-1,In Stock.
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Siri,Alexa, Echo, Google Home and IFTTT (No Hub Required), Peteme A19 60W Equivalent RGB Color Changing Bulb (2 Pack)",https://www.amazon.com/Multicolor-Required-Peteme-Equivalent-Changing/dp/B07MKDLV1V/ref=sr_1_2?keywords=smart+light&qid=1581545192&sr=8-2,"$20.99
$20
.
99",https://www.amazon.com/Multicolor-Required-Peteme-Equivalent-Changing/dp/B07MKDLV1V/ref=sr_1_2?keywords=smart+light&qid=1581545192&sr=8-2,In Stock.
"Govee Smart WiFi LED Strip Lights Works with Alexa, Google Home Brighter 5050 LED, 16 Million Colors Phone App Controlled Music Light Strip for Home, Kitchen, TV, Party, for iOS and Android, 16.4ft",https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_3?keywords=smart+light&qid=1581545192&smid=A2KZ7X05DCDJDL&sr=8-3,"$25.49
$25
.
49
$43.99
$43.99",https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_3?keywords=smart+light&qid=1581545192&smid=A2KZ7X05DCDJDL&sr=8-3,In Stock.
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack",https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_4?keywords=smart+light&qid=1581545192&sr=8-4,"$29.99
$29
.
99 ($10.00/Count)
$38.99
$38.99",https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_4?keywords=smart+light&qid=1581545192&sr=8-4,In Stock.
"Smart WiFi Light Bulb with Soft White Light, TECKIN 16 Million RGB Color Changing LED Bulb That Work with Alexa, Google Home (No Hub Required), 7.5W (60w Equivalent),4 Pack",https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_5?keywords=smart+light&qid=1581545192&sr=8-5,"$39.99
$39
.
99",https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_5?keywords=smart+light&qid=1581545192&sr=8-5,In Stock.
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack",https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_6?keywords=smart+light&qid=1581545192&sr=8-6,"$22.99
$22
.
99 ($11.50/Count)",https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_6?keywords=smart+light&qid=1581545192&sr=8-6,In Stock.
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack",https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581545192&sr=8-7,"$39.99
$39
.
99",https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581545192&sr=8-7,In Stock.
"Smart Light Bulb, Works with Alexa, Echo, Google Home and Siri, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 1 Pack",https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_8?keywords=smart+light&qid=1581545192&sr=8-8,"$13.99
$13
.
99",https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_8?keywords=smart+light&qid=1581545192&sr=8-8,In Stock.
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack",https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_9?keywords=smart+light&qid=1581545192&sr=8-9,"$37.98
$37
.
98",https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_9?keywords=smart+light&qid=1581545192&sr=8-9,In Stock.
"Kasa Smart Light Switch by TP-Link – Needs Neutral Wire, WiFi Light Switch, Works with Alexa & Google (HS200) White 1-Pack",https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_10?keywords=smart+light&qid=1581545192&sr=8-10,"$19.99
$19
.
99",https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_10?keywords=smart+light&qid=1581545192&sr=8-10,In Stock.
"Smart Light Bulb Compatible with Alexa Google Home, NiteBird A19 E26 WiFi Dimmable Warm White 2700K LED Lights Bulbs, 75W Equivalent, No Hub Required, 2 Pack",https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B082DWK146/ref=sr_1_11?keywords=smart+light&qid=1581545192&sr=8-11,"$16.99
$16
.
99",https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B082DWK146/ref=sr_1_11?keywords=smart+light&qid=1581545192&sr=8-11,In Stock.
"Smart Light Bulbs E12 Base LED Candelabra Bulbs, Color Changing and Dimmable, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 4 Pack",https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_12?keywords=smart+light&qid=1581545192&sr=8-12,"$39.99
$39
.
99",https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_12?keywords=smart+light&qid=1581545192&sr=8-12,In Stock.
Gosund Smart Light Bulb Compatible with Alexa Google Home WiFi A19 E26 LED Dimmable Bulbs No Hub Required 2700K Warm White 8W Lights 75W Equivalent Lighting 2pack,https://www.amazon.com/Gosund-Dimmable-Required-Equivalent-Lighting/dp/B082X4QTKJ/ref=sr_1_13?keywords=smart+light&qid=1581545192&sr=8-13,"$16.99
$16
.
99",https://www.amazon.com/Gosund-Dimmable-Required-Equivalent-Lighting/dp/B082X4QTKJ/ref=sr_1_13?keywords=smart+light&qid=1581545192&sr=8-13,In Stock.
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent) No Hub Required, Wi-Fi, E26 Base (4 Pack)",https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VCRJ9ZM/ref=sr_1_14?keywords=smart+light&qid=1581545192&sr=8-14,"$52.99
$52
.
99",https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VCRJ9ZM/ref=sr_1_14?keywords=smart+light&qid=1581545192&sr=8-14,In Stock.
